Date & Time,Humidity,Temperature,Fahrenheit,No of Occupant
[2022-11-18 08:54:00.274] ,52.1,20.3,68.54,0
[2022-11-18 08:54:01.287] ,52.1,20.3,68.54,0
[2022-11-18 08:54:02.287] ,52.1,20.3,68.54,0
[2022-11-18 08:54:03.294] ,52.1,20.3,68.54,0
[2022-11-18 08:54:04.297] ,52.1,20.3,68.54,0
[2022-11-18 08:54:05.304] ,52.1,20.3,68.54,0
[2022-11-18 08:54:06.308] ,52.1,20.3,68.54,0
[2022-11-18 08:54:07.316] ,52.1,20.3,68.54,0
[2022-11-18 08:54:08.320] ,52.1,20.3,68.54,0
[2022-11-18 08:54:09.325] ,52.1,20.3,68.54,0
[2022-11-18 08:54:10.330] ,52.1,20.3,68.54,0
[2022-11-18 08:54:11.338] ,52.1,20.3,68.54,0
[2022-11-18 08:54:12.342] ,52.1,20.3,68.54,0
[2022-11-18 08:54:13.349] ,52.1,20.3,68.54,0
[2022-11-18 08:54:14.348] ,52.1,20.3,68.54,0
[2022-11-18 08:54:15.360] ,52.1,20.3,68.54,0
[2022-11-18 08:54:16.359] ,52.1,20.3,68.54,0
[2022-11-18 08:54:17.367] ,52,20.3,68.54,0
[2022-11-18 08:54:18.370] ,52,20.3,68.54,0
[2022-11-18 08:54:19.375] ,52,20.3,68.54,0
[2022-11-18 08:54:20.381] ,52,20.3,68.54,0
[2022-11-18 08:54:21.389] ,52,20.3,68.54,0
[2022-11-18 08:54:22.528] ,52,20.3,68.54,0
[2022-11-18 08:54:23.400] ,52,20.3,68.54,0
[2022-11-18 08:54:24.404] ,52,20.3,68.54,0
[2022-11-18 08:54:25.411] ,52,20.3,68.54,0
[2022-11-18 08:54:26.410] ,52,20.3,68.54,0
[2022-11-18 08:54:27.421] ,52,20.3,68.54,0
[2022-11-18 08:54:28.421] ,52,20.3,68.54,0
[2022-11-18 08:54:29.428] ,52,20.3,68.54,0
[2022-11-18 08:54:30.430] ,52,20.3,68.54,0
[2022-11-18 08:54:31.440] ,52,20.3,68.54,0
[2022-11-18 08:54:32.442] ,52,20.3,68.54,0
[2022-11-18 08:54:33.449] ,52,20.3,68.54,0
[2022-11-18 08:54:34.454] ,52,20.3,68.54,0
[2022-11-18 08:54:35.462] ,52,20.3,68.54,0
[2022-11-18 08:54:36.466] ,52,20.3,68.54,0
[2022-11-18 08:54:37.472] ,52,20.3,68.54,0
[2022-11-18 08:54:38.472] ,52,20.3,68.54,0
[2022-11-18 08:54:39.483] ,52.1,20.3,68.54,0
[2022-11-18 08:54:40.481] ,52.1,20.3,68.54,0
[2022-11-18 08:54:41.491] ,52.1,20.3,68.54,0
[2022-11-18 08:54:42.494] ,52.1,20.3,68.54,0
[2022-11-18 08:54:43.499] ,52.1,20.3,68.54,0
[2022-11-18 08:54:44.504] ,52.1,20.3,68.54,0
[2022-11-18 08:54:45.513] ,52.2,20.3,68.54,0
[2022-11-18 08:54:46.516] ,52.2,20.3,68.54,0
[2022-11-18 08:54:47.523] ,52.1,20.3,68.54,0
[2022-11-18 08:54:48.527] ,52.1,20.3,68.54,0
[2022-11-18 08:54:49.535] ,52.1,20.3,68.54,0
[2022-11-18 08:54:50.531] ,52.1,20.3,68.54,0
[2022-11-18 08:54:51.545] ,52.1,20.3,68.54,0
[2022-11-18 08:54:52.544] ,52.1,20.3,68.54,0
[2022-11-18 08:54:53.553] ,52.1,20.3,68.54,0
[2022-11-18 08:54:54.555] ,52.1,20.3,68.54,0
[2022-11-18 08:54:55.564] ,52,20.3,68.54,0
[2022-11-18 08:54:56.566] ,52,20.3,68.54,0
[2022-11-18 08:54:57.574] ,52.1,20.3,68.54,0
[2022-11-18 08:54:58.577] ,52.1,20.3,68.54,0
[2022-11-18 08:54:59.586] ,52.1,20.3,68.54,0
[2022-11-18 08:55:00.587] ,52.1,20.3,68.54,0
