Date & Time,Humidity,Temperature,Fahrenheit
[2022-11-18 08:54:00.398] ,67.3,11.9,53.42
[2022-11-18 08:54:01.406] ,67.4,11.9,53.42
[2022-11-18 08:54:02.409] ,67.4,11.9,53.42
[2022-11-18 08:54:03.416] ,67.5,11.9,53.42
[2022-11-18 08:54:04.420] ,67.5,11.9,53.42
[2022-11-18 08:54:05.427] ,67.7,11.8,53.24
[2022-11-18 08:54:06.431] ,67.7,11.8,53.24
[2022-11-18 08:54:07.438] ,67.9,11.7,53.06
[2022-11-18 08:54:08.442] ,67.9,11.7,53.06
[2022-11-18 08:54:09.450] ,67.9,11.7,53.06
[2022-11-18 08:54:10.453] ,67.9,11.7,53.06
[2022-11-18 08:54:11.460] ,68,11.7,53.06
[2022-11-18 08:54:12.460] ,68,11.7,53.06
[2022-11-18 08:54:13.471] ,68,11.7,53.06
[2022-11-18 08:54:14.471] ,68,11.7,53.06
[2022-11-18 08:54:15.478] ,67.9,11.7,53.06
[2022-11-18 08:54:16.482] ,67.9,11.7,53.06
[2022-11-18 08:54:17.489] ,68,11.7,53.06
[2022-11-18 08:54:18.493] ,68,11.7,53.06
[2022-11-18 08:54:19.500] ,68.2,11.6,52.88
[2022-11-18 08:54:20.504] ,68.2,11.6,52.88
[2022-11-18 08:54:21.511] ,68.3,11.6,52.88
[2022-11-18 08:54:22.514] ,68.3,11.6,52.88
[2022-11-18 08:54:23.522] ,68.3,11.5,52.7
[2022-11-18 08:54:24.522] ,68.3,11.5,52.7
[2022-11-18 08:54:25.534] ,68.5,11.5,52.7
[2022-11-18 08:54:26.533] ,68.5,11.5,52.7
[2022-11-18 08:54:27.540] ,68.6,11.5,52.7
[2022-11-18 08:54:28.544] ,68.6,11.5,52.7
[2022-11-18 08:54:29.551] ,68.8,11.5,52.7
[2022-11-18 08:54:30.555] ,68.8,11.5,52.7
[2022-11-18 08:54:31.562] ,69,11.5,52.7
[2022-11-18 08:54:32.566] ,69,11.5,52.7
[2022-11-18 08:54:33.573] ,69,11.5,52.7
[2022-11-18 08:54:34.577] ,69,11.5,52.7
[2022-11-18 08:54:35.584] ,69.1,11.4,52.52
[2022-11-18 08:54:36.584] ,69.1,11.4,52.52
[2022-11-18 08:54:37.596] ,69.4,11.4,52.52
[2022-11-18 08:54:38.596] ,69.4,11.4,52.52
[2022-11-18 08:54:39.603] ,69.7,11.4,52.52
[2022-11-18 08:54:40.606] ,69.7,11.4,52.52
[2022-11-18 08:54:41.613] ,69.9,11.4,52.52
[2022-11-18 08:54:42.617] ,69.9,11.4,52.52
[2022-11-18 08:54:43.624] ,69.9,11.3,52.34
[2022-11-18 08:54:44.629] ,69.9,11.3,52.34
[2022-11-18 08:54:45.636] ,69.8,11.3,52.34
[2022-11-18 08:54:46.639] ,69.8,11.3,52.34
[2022-11-18 08:54:47.646] ,69.8,11.3,52.34
[2022-11-18 08:54:48.650] ,69.8,11.3,52.34
[2022-11-18 08:54:49.657] ,70,11.3,52.34
[2022-11-18 08:54:50.657] ,70,11.3,52.34
[2022-11-18 08:54:51.668] ,70,11.2,52.16
[2022-11-18 08:54:52.669] ,70,11.2,52.16
[2022-11-18 08:54:53.675] ,70.1,11.2,52.16
[2022-11-18 08:54:54.679] ,70.1,11.2,52.16
[2022-11-18 08:54:55.687] ,70.2,11.1,51.98
[2022-11-18 08:54:56.690] ,70.2,11.1,51.98
[2022-11-18 08:54:57.699] ,70.2,11.1,51.98
[2022-11-18 08:54:58.701] ,70.2,11.1,51.98
[2022-11-18 08:54:59.708] ,70.1,11.1,51.98
[2022-11-18 08:55:00.712] ,70.1,11.1,51.98
[2022-11-18 08:55:01.720] ,70.2,11.1,51.98
[2022-11-18 08:55:02.723] ,70.2,11.1,51.98
[2022-11-18 08:55:03.730] ,70.4,11.1,51.98
[2022-11-18 08:55:04.735] ,70.4,11.1,51.98
[2022-11-18 08:55:05.742] ,70.4,11.1,51.98
[2022-11-18 08:55:06.741] ,70.4,11.1,51.98
[2022-11-18 08:55:07.753] ,70.2,11.1,51.98
[2022-11-18 08:55:08.752] ,70.2,11.1,51.98
[2022-11-18 08:55:09.759] ,69.9,11.1,51.98
[2022-11-18 08:55:10.763] ,69.9,11.1,51.98
[2022-11-18 08:55:11.770] ,69.8,11,51.8
[2022-11-18 08:55:12.774] ,69.8,11,51.8
[2022-11-18 08:55:13.781] ,69.7,11,51.8
[2022-11-18 08:55:14.785] ,69.7,11,51.8
[2022-11-18 08:55:15.792] ,69.7,11,51.8
[2022-11-18 08:55:16.796] ,69.7,11,51.8
[2022-11-18 08:55:17.803] ,69.9,10.9,51.62
[2022-11-18 08:55:18.803] ,69.9,10.9,51.62
[2022-11-18 08:55:19.814] ,70.1,10.9,51.62
[2022-11-18 08:55:20.814] ,70.1,10.9,51.62
[2022-11-18 08:55:21.825] ,70.4,10.9,51.62
[2022-11-18 08:55:22.825] ,70.4,10.9,51.62
[2022-11-18 08:55:23.832] ,70.6,10.9,51.62
[2022-11-18 08:55:24.836] ,70.6,10.9,51.62
[2022-11-18 08:55:25.843] ,70.7,10.8,51.44
[2022-11-18 08:55:26.847] ,70.7,10.8,51.44
[2022-11-18 08:55:27.854] ,70.7,10.8,51.44
[2022-11-18 08:55:28.858] ,70.7,10.8,51.44
[2022-11-18 08:55:29.865] ,70.6,10.8,51.44
[2022-11-18 08:55:30.864] ,70.6,10.8,51.44
[2022-11-18 08:55:31.876] ,70.8,10.8,51.44
[2022-11-18 08:55:32.876] ,70.8,10.8,51.44
[2022-11-18 08:55:33.883] ,70.8,10.7,51.26
[2022-11-18 08:55:34.887] ,70.8,10.7,51.26
[2022-11-18 08:55:35.894] ,70.8,10.7,51.26
[2022-11-18 08:55:36.898] ,70.8,10.7,51.26
[2022-11-18 08:55:37.905] ,70.8,10.7,51.26
[2022-11-18 08:55:38.909] ,70.8,10.7,51.26
[2022-11-18 08:55:39.916] ,70.9,10.7,51.26
[2022-11-18 08:55:40.920] ,70.9,10.7,51.26
[2022-11-18 08:55:41.928] ,71.1,10.7,51.26
[2022-11-18 08:55:42.927] ,71.1,10.7,51.26
[2022-11-18 08:55:43.938] ,71.3,10.7,51.26
[2022-11-18 08:55:44.938] ,71.3,10.7,51.26
[2022-11-18 08:55:45.945] ,71.5,10.6,51.08
[2022-11-18 08:55:46.949] ,71.5,10.6,51.08
[2022-11-18 08:55:47.956] ,71.6,10.6,51.08
[2022-11-18 08:55:48.960] ,71.6,10.6,51.08
[2022-11-18 08:55:49.967] ,71.7,10.6,51.08
[2022-11-18 08:55:50.971] ,71.7,10.6,51.08
[2022-11-18 08:55:51.978] ,71.8,10.6,51.08
[2022-11-18 08:55:52.982] ,71.8,10.6,51.08
[2022-11-18 08:55:53.989] ,71.9,10.6,51.08
[2022-11-18 08:55:54.988] ,71.9,10.6,51.08
[2022-11-18 08:55:56.000] ,72.1,10.6,51.08
[2022-11-18 08:55:56.999] ,72.1,10.6,51.08
[2022-11-18 08:55:58.011] ,72.3,10.5,50.9
[2022-11-18 08:55:59.010] ,72.3,10.5,50.9
[2022-11-18 08:56:00.018] ,72.5,10.5,50.9
[2022-11-18 08:56:01.022] ,72.5,10.5,50.9
[2022-11-18 08:56:02.029] ,72.6,10.5,50.9
[2022-11-18 08:56:03.033] ,72.6,10.5,50.9
[2022-11-18 08:56:04.041] ,72.7,10.5,50.9
[2022-11-18 08:56:05.044] ,72.7,10.5,50.9
[2022-11-18 08:56:06.051] ,72.8,10.5,50.9
[2022-11-18 08:56:07.051] ,72.8,10.5,50.9
[2022-11-18 08:56:08.063] ,72.9,10.5,50.9
[2022-11-18 08:56:09.062] ,72.9,10.5,50.9
[2022-11-18 08:56:10.070] ,72.9,10.5,50.9
[2022-11-18 08:56:11.074] ,72.9,10.5,50.9
[2022-11-18 08:56:12.081] ,72.9,10.5,50.9
